"report_id","order_no","order_type","process_code","report_qty","report_time","shift_code","team_code","created_at"
"REP20260322000030","MO2026032200014","production","PROC-060","176","2026-03-24 23:00:00","NIGHT","TEAM-B03","2026-03-24 23:01:00"
"REP20260322000031","MO2026032200014","production","PROC-030","232","2026-03-25 05:00:00","NIGHT","TEAM-B03","2026-03-25 05:01:00"
"REP20260322000032","MO2026032200014","production","PROC-040","288","2026-03-25 13:00:00","DAY","TEAM-B03","2026-03-25 13:01:00"
"REP20260322000033","MO2026032200014","production","PROC-070","344","2026-03-25 23:00:00","NIGHT","TEAM-B03","2026-03-25 23:01:00"
"REP20260322000034","MO2026032200015","production","PROC-010","163","2026-03-24 19:00:00","DAY","TEAM-A02","2026-03-24 19:01:00"
"REP20260322000035","MO2026032200016","production","PROC-010","223","2026-03-24 20:00:00","NIGHT","TEAM-B03","2026-03-24 20:01:00"
"REP20260322000036","MO2026032200016","production","PROC-060","328","2026-03-25 04:00:00","NIGHT","TEAM-B03","2026-03-25 04:01:00"
"REP20260322000037","MO2026032200017","production","PROC-010","88","2026-03-23 09:00:00","DAY","TEAM-B03","2026-03-23 09:01:00"
"REP20260322000038","MO2026032200018","production","PROC-010","79","2026-03-23 11:00:00","DAY","TEAM-A02","2026-03-23 11:01:00"
"REP20260322000039","MO2026032200019","production","PROC-010","123","2026-03-23 12:00:00","DAY","TEAM-A02","2026-03-23 12:01:00"
"REP20260322000040","MO2026032200020","production","PROC-010","82","2026-03-23 13:00:00","DAY","TEAM-A02","2026-03-23 13:01:00"
"REP20260322000041","MO2026032200021","production","PROC-010","215","2026-03-23 15:00:00","DAY","TEAM-A02","2026-03-23 15:01:00"
"REP20260322000042","MO2026032200021","production","PROC-020","316","2026-03-23 22:00:00","NIGHT","TEAM-A02","2026-03-23 22:01:00"
"REP20260322000043","MO2026032200021","production","PROC-030","418","2026-03-24 06:00:00","NIGHT","TEAM-A02","2026-03-24 06:01:00"
"REP20260322000044","MO2026032200021","production","PROC-050","519","2026-03-24 13:00:00","DAY","TEAM-A02","2026-03-24 13:01:00"
"REP20260322000045","MO2026032200022","production","PROC-010","175","2026-03-23 18:00:00","DAY","TEAM-A02","2026-03-23 18:01:00"
"REP20260322000046","MO2026032200023","production","PROC-010","117","2026-03-23 19:00:00","DAY","TEAM-A02","2026-03-23 19:01:00"
"REP20260322000047","MO2026032200024","production","PROC-010","89","2026-03-23 19:00:00","DAY","TEAM-B03","2026-03-23 19:01:00"
"REP20260322000048","MO2026032200025","production","PROC-010","188","2026-03-23 20:00:00","NIGHT","TEAM-A02","2026-03-23 20:01:00"
"REP20260322000049","MO2026032200026","production","PROC-010","749","2026-03-23 22:00:00","NIGHT","TEAM-B03","2026-03-23 22:01:00"
"REP20260322000050","MO2026032200026","production","PROC-060","749","2026-03-24 05:00:00","NIGHT","TEAM-B03","2026-03-24 05:01:00"
"REP20260322000051","MO2026032200026","production","PROC-030","749","2026-03-24 13:00:00","DAY","TEAM-B03","2026-03-24 13:01:00"
"REP20260322000052","MO2026032200026","production","PROC-040","749","2026-03-24 22:00:00","NIGHT","TEAM-B03","2026-03-24 22:01:00"
"REP20260322000053","MO2026032200026","production","PROC-070","749","2026-03-25 05:00:00","NIGHT","TEAM-B03","2026-03-25 05:01:00"
"REP20260322000054","MO2026032200026","production","PROC-080","749","2026-03-25 15:00:00","DAY","TEAM-B03","2026-03-25 15:01:00"
"REP20260322000055","MO2026032200026","production","PROC-090","749","2026-03-25 21:00:00","NIGHT","TEAM-B03","2026-03-25 21:01:00"
"REP20260322000056","MO2026032200026","production","PROC-100","749","2026-03-26 06:00:00","NIGHT","TEAM-B03","2026-03-26 06:01:00"
"REP20260322000057","MO2026032200026","production","PROC-110","749","2026-03-26 14:00:00","DAY","TEAM-B03","2026-03-26 14:01:00"
"REP20260322000058","MO2026032200027","production","PROC-010","107","2026-03-24 06:00:00","NIGHT","TEAM-A02","2026-03-24 06:01:00"
"REP20260322000059","MO2026032200027","production","PROC-020","157","2026-03-24 15:00:00","DAY","TEAM-A02","2026-03-24 15:01:00"
"REP20260322000060","MO2026032200028","production","PROC-010","190","2026-03-24 08:00:00","DAY","TEAM-B03","2026-03-24 08:01:00"
"REP20260322000061","MO2026032200028","production","PROC-060","280","2026-03-24 17:00:00","DAY","TEAM-B03","2026-03-24 17:01:00"
"REP20260322000062","MO2026032200028","production","PROC-030","369","2026-03-25 00:00:00","NIGHT","TEAM-B03","2026-03-25 00:01:00"
"REP20260322000063","MO2026032200028","production","PROC-040","458","2026-03-25 08:00:00","DAY","TEAM-B03","2026-03-25 08:01:00"
"REP20260322000064","MO2026032200029","production","PROC-010","164","2026-03-24 12:00:00","DAY","TEAM-A02","2026-03-24 12:01:00"
"REP20260322000065","MO2026032200030","production","PROC-010","128","2026-03-24 13:00:00","DAY","TEAM-A02","2026-03-24 13:01:00"
"REP20260322000066","MO2026032200031","production","PROC-010","145","2026-03-24 15:00:00","DAY","TEAM-A02","2026-03-24 15:01:00"
"REP20260322000067","MO2026032200032","production","PROC-010","223","2026-03-24 15:00:00","DAY","TEAM-A02","2026-03-24 15:01:00"
"REP20260322000068","MO2026032200032","production","PROC-020","328","2026-03-25 01:00:00","NIGHT","TEAM-A02","2026-03-25 01:01:00"
"REP20260322000069","MO2026032200033","production","PROC-010","87","2026-03-24 19:00:00","DAY","TEAM-A02","2026-03-24 19:01:00"
"REP20260322000070","MO2026032200034","production","PROC-010","107","2026-03-24 18:00:00","DAY","TEAM-B03","2026-03-24 18:01:00"
"REP20260322000071","MO2026032200035","production","PROC-010","283","2026-03-24 19:00:00","DAY","TEAM-A02","2026-03-24 19:01:00"
"REP20260322000072","MO2026032200035","production","PROC-020","416","2026-03-25 04:00:00","NIGHT","TEAM-A02","2026-03-25 04:01:00"
"REP20260322000073","MO2026032200035","production","PROC-040","549","2026-03-25 11:00:00","DAY","TEAM-A02","2026-03-25 11:01:00"
"REP20260322000074","MO2026032200035","production","PROC-050","682","2026-03-25 20:00:00","NIGHT","TEAM-A02","2026-03-25 20:01:00"
"REP20260322000075","MO2026032200036","production","PROC-010","297","2026-03-23 12:00:00","DAY","TEAM-B03","2026-03-23 12:01:00"
"REP20260322000076","MO2026032200036","production","PROC-060","436","2026-03-23 21:00:00","NIGHT","TEAM-B03","2026-03-23 21:01:00"
"REP20260322000077","MO2026032200037","production","PROC-010","148","2026-03-23 14:00:00","DAY","TEAM-A02","2026-03-23 14:01:00"
"REP20260322000078","MO2026032200038","production","PROC-010","209","2026-03-23 16:00:00","DAY","TEAM-B03","2026-03-23 16:01:00"
"REP20260322000079","MO2026032200038","production","PROC-060","308","2026-03-23 22:00:00","NIGHT","TEAM-B03","2026-03-23 22:01:00"
"REP20260322000080","MO2026032200039","production","PROC-010","411","2026-03-23 18:00:00","DAY","TEAM-B03","2026-03-23 18:01:00"
"REP20260322000081","MO2026032200039","production","PROC-060","411","2026-03-24 00:00:00","NIGHT","TEAM-B03","2026-03-24 00:01:00"
"REP20260322000082","MO2026032200039","production","PROC-030","411","2026-03-24 10:00:00","DAY","TEAM-B03","2026-03-24 10:01:00"
"REP20260322000083","MO2026032200039","production","PROC-040","411","2026-03-24 17:00:00","DAY","TEAM-B03","2026-03-24 17:01:00"
"REP20260322000084","MO2026032200039","production","PROC-070","411","2026-03-25 01:00:00","NIGHT","TEAM-B03","2026-03-25 01:01:00"
"REP20260322000085","MO2026032200039","production","PROC-080","411","2026-03-25 08:00:00","DAY","TEAM-B03","2026-03-25 08:01:00"
"REP20260322000086","MO2026032200039","production","PROC-090","411","2026-03-25 18:00:00","DAY","TEAM-B03","2026-03-25 18:01:00"
"REP20260322000087","MO2026032200039","production","PROC-100","411","2026-03-26 00:00:00","NIGHT","TEAM-B03","2026-03-26 00:01:00"
"REP20260322000088","MO2026032200039","production","PROC-110","411","2026-03-26 08:00:00","DAY","TEAM-B03","2026-03-26 08:01:00"
"REP20260322000089","MO2026032200040","production","PROC-010","121","2026-03-24 03:00:00","NIGHT","TEAM-A02","2026-03-24 03:01:00"
"REP20260322000090","MO2026032200040","production","PROC-020","178","2026-03-24 09:00:00","DAY","TEAM-A02","2026-03-24 09:01:00"
"REP20260322000091","MO2026032200041","production","PROC-010","142","2026-03-24 04:00:00","NIGHT","TEAM-A02","2026-03-24 04:01:00"
"REP20260322000092","MO2026032200042","production","PROC-010","160","2026-03-24 05:00:00","NIGHT","TEAM-A02","2026-03-24 05:01:00"
"REP20260322000093","MO2026032200042","production","PROC-020","236","2026-03-24 13:00:00","DAY","TEAM-A02","2026-03-24 13:01:00"
"REP20260322000094","MO2026032200042","production","PROC-040","312","2026-03-24 21:00:00","NIGHT","TEAM-A02","2026-03-24 21:01:00"
"REP20260322000095","MO2026032200042","production","PROC-050","387","2026-03-25 05:00:00","NIGHT","TEAM-A02","2026-03-25 05:01:00"
"REP20260322000096","MO2026032200042","production","PROC-070","463","2026-03-25 13:00:00","DAY","TEAM-A02","2026-03-25 13:01:00"
"REP20260322000097","MO2026032200043","production","PROC-010","290","2026-03-24 10:00:00","DAY","TEAM-A02","2026-03-24 10:01:00"
"REP20260322000098","MO2026032200043","production","PROC-020","427","2026-03-24 17:00:00","DAY","TEAM-A02","2026-03-24 17:01:00"
"REP20260322000099","MO2026032200044","production","PROC-010","224","2026-03-24 11:00:00","DAY","TEAM-A02","2026-03-24 11:01:00"
"REP20260322000100","MO2026032200045","production","PROC-010","254","2026-03-24 12:00:00","DAY","TEAM-A02","2026-03-24 12:01:00"
"REP20260322000101","MO2026032200045","production","PROC-020","373","2026-03-24 22:00:00","NIGHT","TEAM-A02","2026-03-24 22:01:00"
"REP20260322000102","MO2026032200046","production","PROC-010","250","2026-03-24 16:00:00","DAY","TEAM-B03","2026-03-24 16:01:00"
"REP20260322000103","MO2026032200046","production","PROC-060","368","2026-03-25 00:00:00","NIGHT","TEAM-B03","2026-03-25 00:01:00"
"REP20260322000104","MO2026032200047","production","PROC-010","122","2026-03-24 16:00:00","DAY","TEAM-A02","2026-03-24 16:01:00"
"REP20260322000105","MO2026032200048","production","PROC-010","128","2026-03-24 19:00:00","DAY","TEAM-B03","2026-03-24 19:01:00"
"REP20260322000106","MO2026032200049","production","PROC-010","253","2026-03-24 18:00:00","DAY","TEAM-A02","2026-03-24 18:01:00"
"REP20260322000107","MO2026032200049","production","PROC-020","372","2026-03-25 02:00:00","NIGHT","TEAM-A02","2026-03-25 02:01:00"
"REP20260322000108","MO2026032200049","production","PROC-030","492","2026-03-25 12:00:00","DAY","TEAM-A02","2026-03-25 12:01:00"
"REP20260322000109","MO2026032200049","production","PROC-050","611","2026-03-25 20:00:00","NIGHT","TEAM-A02","2026-03-25 20:01:00"
"REP20260322000110","MO2026032200049","production","PROC-070","730","2026-03-26 02:00:00","NIGHT","TEAM-A02","2026-03-26 02:01:00"
"REP20260322000111","MO2026032200050","production","PROC-010","187","2026-03-23 11:00:00","DAY","TEAM-B03","2026-03-23 11:01:00"
"REP20260322000112","MO2026032200050","production","PROC-060","274","2026-03-23 19:00:00","DAY","TEAM-B03","2026-03-23 19:01:00"
"REP20260322000113","MO2026032200051","production","PROC-010","107","2026-03-23 15:00:00","DAY","TEAM-A02","2026-03-23 15:01:00"
"REP20260322000114","MO2026032200052","production","PROC-010","814","2026-03-23 16:00:00","DAY","TEAM-A02","2026-03-23 16:01:00"
"REP20260322000115","MO2026032200052","production","PROC-020","814","2026-03-23 23:00:00","NIGHT","TEAM-A02","2026-03-23 23:01:00"
"REP20260322000116","MO2026032200052","production","PROC-040","814","2026-03-24 07:00:00","NIGHT","TEAM-A02","2026-03-24 07:01:00"
"REP20260322000117","MO2026032200052","production","PROC-050","814","2026-03-24 14:00:00","DAY","TEAM-A02","2026-03-24 14:01:00"
"REP20260322000118","MO2026032200052","production","PROC-070","814","2026-03-24 23:00:00","NIGHT","TEAM-A02","2026-03-24 23:01:00"
"REP20260322000119","MO2026032200052","production","PROC-080","814","2026-03-25 06:00:00","NIGHT","TEAM-A02","2026-03-25 06:01:00"
"REP20260322000120","MO2026032200052","production","PROC-100","814","2026-03-25 16:00:00","DAY","TEAM-A02","2026-03-25 16:01:00"
"REP20260322000121","MO2026032200052","production","PROC-110","814","2026-03-25 22:00:00","NIGHT","TEAM-A02","2026-03-25 22:01:00"
"REP20260322000122","MO2026032200053","production","PROC-010","159","2026-03-23 22:00:00","NIGHT","TEAM-A02","2026-03-23 22:01:00"
"REP20260322000123","MO2026032200054","production","PROC-010","239","2026-03-23 23:00:00","NIGHT","TEAM-A02","2026-03-23 23:01:00"
"REP20260322000124","MO2026032200054","production","PROC-020","352","2026-03-24 08:00:00","DAY","TEAM-A02","2026-03-24 08:01:00"
"REP20260322000125","MO2026032200055","production","PROC-010","220","2026-03-24 03:00:00","NIGHT","TEAM-B03","2026-03-24 03:01:00"
"REP20260322000126","MO2026032200055","production","PROC-060","323","2026-03-24 11:00:00","DAY","TEAM-B03","2026-03-24 11:01:00"
"REP20260322000127","MO2026032200056","production","PROC-010","147","2026-03-24 03:00:00","NIGHT","TEAM-B03","2026-03-24 03:01:00"
"REP20260322000128","MO2026032200056","production","PROC-060","216","2026-03-24 12:00:00","DAY","TEAM-B03","2026-03-24 12:01:00"
"REP20260322000129","MO2026032200056","production","PROC-030","284","2026-03-24 19:00:00","DAY","TEAM-B03","2026-03-24 19:01:00"
