"material_code","order_no","process_code","available_qty","available_time","ready_flag","updated_at"
"M-PACK-ANGIO","MO2026032200021","PROC-110","363","2026-04-07 09:51:00","0","2026-04-07 09:56:00"
"M-BAL-BASE","MO2026032200022","PROC-020","726","2026-04-07 10:49:00","0","2026-04-07 10:54:00"
"M-CATH-TUBE","MO2026032200022","PROC-040","709","2026-04-08 05:06:00","0","2026-04-08 05:11:00"
"M-COAT-002","MO2026032200022","PROC-050","381","2026-04-07 03:11:00","1","2026-04-07 03:16:00"
"M-PACK-BAL","MO2026032200022","PROC-110","516","2026-04-07 17:11:00","0","2026-04-07 17:16:00"
"M-BAL-BASE","MO2026032200023","PROC-020","620","2026-04-07 06:53:00","0","2026-04-07 06:58:00"
"M-CATH-TUBE","MO2026032200023","PROC-040","402","2026-04-07 07:56:00","0","2026-04-07 08:01:00"
"M-COAT-002","MO2026032200023","PROC-050","188","2026-04-07 11:46:00","0","2026-04-07 11:51:00"
"M-PACK-BAL","MO2026032200023","PROC-110","453","2026-04-07 17:34:00","0","2026-04-07 17:39:00"
"M-STENT-WIRE","MO2026032200024","PROC-060","307","2026-04-08 05:40:00","0","2026-04-08 05:45:00"
"M-LASER-TUBE","MO2026032200024","PROC-030","220","2026-04-09 06:49:00","0","2026-04-09 06:54:00"
"M-DRUG-COAT","MO2026032200024","PROC-090","176","2026-04-08 14:29:00","1","2026-04-08 14:34:00"
"M-PACK-STENT","MO2026032200024","PROC-110","362","2026-04-08 13:08:00","0","2026-04-08 13:13:00"
"M-BAL-BASE","MO2026032200025","PROC-020","1110","2026-04-08 03:58:00","0","2026-04-08 04:03:00"
"M-CATH-TUBE","MO2026032200025","PROC-040","666","2026-04-09 21:49:00","0","2026-04-09 21:54:00"
"M-COAT-002","MO2026032200025","PROC-050","285","2026-04-08 12:01:00","0","2026-04-08 12:06:00"
"M-PACK-BAL","MO2026032200025","PROC-110","1014","2026-04-09 04:04:00","1","2026-04-09 04:09:00"
"M-STENT-WIRE","MO2026032200026","PROC-060","906","2026-04-09 17:13:00","1","2026-04-09 17:18:00"
"M-LASER-TUBE","MO2026032200026","PROC-030","437","2026-04-09 01:42:00","0","2026-04-09 01:47:00"
"M-DRUG-COAT","MO2026032200026","PROC-090","256","2026-04-09 11:03:00","1","2026-04-09 11:08:00"
"M-PACK-STENT","MO2026032200026","PROC-110","490","2026-04-09 00:51:00","0","2026-04-09 00:56:00"
"M-RESIN-001","MO2026032200027","PROC-020","395","2026-04-10 00:48:00","0","2026-04-10 00:53:00"
"M-WIRE-001","MO2026032200027","PROC-030","253","2026-04-10 00:18:00","0","2026-04-10 00:23:00"
"M-COAT-001","MO2026032200027","PROC-050","120","2026-04-09 23:11:00","0","2026-04-09 23:16:00"
"M-PACK-ANGIO","MO2026032200027","PROC-110","144","2026-04-10 21:54:00","0","2026-04-10 21:59:00"
"M-STENT-WIRE","MO2026032200028","PROC-060","400","2026-04-11 16:21:00","0","2026-04-11 16:26:00"
"M-LASER-TUBE","MO2026032200028","PROC-030","326","2026-04-11 08:37:00","0","2026-04-11 08:42:00"
"M-DRUG-COAT","MO2026032200028","PROC-090","88","2026-04-11 15:07:00","0","2026-04-11 15:12:00"
"M-PACK-STENT","MO2026032200028","PROC-110","434","2026-04-09 18:51:00","0","2026-04-09 18:56:00"
"M-RESIN-001","MO2026032200029","PROC-020","909","2026-04-11 14:56:00","0","2026-04-11 15:01:00"
"M-WIRE-001","MO2026032200029","PROC-030","854","2026-04-11 12:41:00","1","2026-04-11 12:46:00"
"M-COAT-001","MO2026032200029","PROC-050","421","2026-04-12 01:14:00","1","2026-04-12 01:19:00"
"M-PACK-ANGIO","MO2026032200029","PROC-110","617","2026-04-11 09:34:00","0","2026-04-11 09:39:00"
"M-BAL-BASE","MO2026032200030","PROC-020","530","2026-04-12 17:25:00","0","2026-04-12 17:30:00"
"M-CATH-TUBE","MO2026032200030","PROC-040","641","2026-04-13 07:15:00","1","2026-04-13 07:20:00"
"M-COAT-002","MO2026032200030","PROC-050","209","2026-04-13 04:48:00","0","2026-04-13 04:53:00"
"M-PACK-BAL","MO2026032200030","PROC-110","427","2026-04-13 18:06:00","0","2026-04-13 18:11:00"
"M-RESIN-001","MO2026032200031","PROC-020","1011","2026-04-04 14:08:00","0","2026-04-04 14:13:00"
"M-WIRE-001","MO2026032200031","PROC-030","494","2026-04-03 06:28:00","0","2026-04-03 06:33:00"
"M-COAT-001","MO2026032200031","PROC-050","164","2026-04-02 21:09:00","0","2026-04-02 21:14:00"
"M-PACK-ANGIO","MO2026032200031","PROC-110","433","2026-04-02 22:12:00","0","2026-04-02 22:17:00"
"M-BAL-BASE","MO2026032200032","PROC-020","995","2026-04-05 06:59:00","1","2026-04-05 07:04:00"
"M-CATH-TUBE","MO2026032200032","PROC-040","316","2026-04-05 13:10:00","0","2026-04-05 13:15:00"
"M-COAT-002","MO2026032200032","PROC-050","148","2026-04-04 11:15:00","0","2026-04-04 11:20:00"
"M-PACK-BAL","MO2026032200032","PROC-110","723","2026-04-05 17:11:00","1","2026-04-05 17:16:00"
"M-BAL-BASE","MO2026032200033","PROC-020","373","2026-04-04 23:55:00","0","2026-04-05 00:00:00"
"M-CATH-TUBE","MO2026032200033","PROC-040","205","2026-04-04 06:09:00","0","2026-04-04 06:14:00"
"M-COAT-002","MO2026032200033","PROC-050","79","2026-04-05 05:58:00","0","2026-04-05 06:03:00"
"M-PACK-BAL","MO2026032200033","PROC-110","261","2026-04-05 02:39:00","0","2026-04-05 02:44:00"
"M-STENT-WIRE","MO2026032200034","PROC-060","496","2026-04-06 06:11:00","0","2026-04-06 06:16:00"
"M-LASER-TUBE","MO2026032200034","PROC-030","594","2026-04-05 02:50:00","1","2026-04-05 02:55:00"
"M-DRUG-COAT","MO2026032200034","PROC-090","89","2026-04-06 11:44:00","0","2026-04-06 11:49:00"
"M-PACK-STENT","MO2026032200034","PROC-110","309","2026-04-05 20:55:00","0","2026-04-05 21:00:00"
"M-BAL-BASE","MO2026032200035","PROC-020","906","2026-04-04 18:29:00","0","2026-04-04 18:34:00"
"M-CATH-TUBE","MO2026032200035","PROC-040","531","2026-04-06 19:32:00","0","2026-04-06 19:37:00"
"M-COAT-002","MO2026032200035","PROC-050","207","2026-04-04 17:06:00","0","2026-04-04 17:11:00"
"M-PACK-BAL","MO2026032200035","PROC-110","485","2026-04-06 01:18:00","0","2026-04-06 01:23:00"
"M-STENT-WIRE","MO2026032200036","PROC-060","494","2026-04-05 23:17:00","0","2026-04-05 23:22:00"
"M-LASER-TUBE","MO2026032200036","PROC-030","883","2026-04-06 20:43:00","1","2026-04-06 20:48:00"
"M-DRUG-COAT","MO2026032200036","PROC-090","118","2026-04-07 08:55:00","0","2026-04-07 09:00:00"
"M-PACK-STENT","MO2026032200036","PROC-110","666","2026-04-05 16:48:00","0","2026-04-05 16:53:00"
"M-RESIN-001","MO2026032200037","PROC-020","1053","2026-04-07 18:03:00","0","2026-04-07 18:08:00"
"M-WIRE-001","MO2026032200037","PROC-030","432","2026-04-07 20:32:00","0","2026-04-07 20:37:00"
"M-COAT-001","MO2026032200037","PROC-050","296","2026-04-08 10:57:00","0","2026-04-08 11:02:00"
"M-PACK-ANGIO","MO2026032200037","PROC-110","521","2026-04-07 19:45:00","0","2026-04-07 19:50:00"
"M-STENT-WIRE","MO2026032200038","PROC-060","531","2026-04-03 01:02:00","0","2026-04-03 01:07:00"
"M-LASER-TUBE","MO2026032200038","PROC-030","448","2026-04-03 14:59:00","0","2026-04-03 15:04:00"
"M-DRUG-COAT","MO2026032200038","PROC-090","231","2026-04-03 11:45:00","1","2026-04-03 11:50:00"
"M-PACK-STENT","MO2026032200038","PROC-110","367","2026-04-02 20:34:00","0","2026-04-02 20:39:00"
"M-STENT-WIRE","MO2026032200039","PROC-060","294","2026-04-01 20:18:00","0","2026-04-01 20:23:00"
"M-LASER-TUBE","MO2026032200039","PROC-030","278","2026-04-03 16:34:00","0","2026-04-03 16:39:00"
"M-DRUG-COAT","MO2026032200039","PROC-090","85","2026-04-01 23:56:00","0","2026-04-02 00:01:00"
"M-PACK-STENT","MO2026032200039","PROC-110","218","2026-04-03 09:45:00","0","2026-04-03 09:50:00"
"M-RESIN-001","MO2026032200040","PROC-020","469","2026-04-02 23:16:00","0","2026-04-02 23:21:00"
"M-WIRE-001","MO2026032200040","PROC-030","276","2026-04-03 10:20:00","0","2026-04-03 10:25:00"
"M-COAT-001","MO2026032200040","PROC-050","120","2026-04-03 02:46:00","0","2026-04-03 02:51:00"
"M-PACK-ANGIO","MO2026032200040","PROC-110","289","2026-04-04 07:36:00","0","2026-04-04 07:41:00"
"M-BAL-BASE","MO2026032200041","PROC-020","688","2026-04-03 19:04:00","0","2026-04-03 19:09:00"
"M-CATH-TUBE","MO2026032200041","PROC-040","573","2026-04-04 22:08:00","0","2026-04-04 22:13:00"
"M-COAT-002","MO2026032200041","PROC-050","301","2026-04-05 09:47:00","1","2026-04-05 09:52:00"
"M-PACK-BAL","MO2026032200041","PROC-110","501","2026-04-05 00:12:00","0","2026-04-05 00:17:00"
"M-BAL-BASE","MO2026032200042","PROC-020","738","2026-04-04 06:02:00","1","2026-04-04 06:07:00"
"M-CATH-TUBE","MO2026032200042","PROC-040","393","2026-04-03 22:19:00","0","2026-04-03 22:24:00"
"M-COAT-002","MO2026032200042","PROC-050","111","2026-04-05 20:05:00","0","2026-04-05 20:10:00"
"M-PACK-BAL","MO2026032200042","PROC-110","249","2026-04-03 22:35:00","0","2026-04-03 22:40:00"
"M-RESIN-001","MO2026032200043","PROC-020","1202","2026-04-05 21:32:00","0","2026-04-05 21:37:00"
"M-WIRE-001","MO2026032200043","PROC-030","898","2026-04-03 16:50:00","1","2026-04-03 16:55:00"
"M-COAT-001","MO2026032200043","PROC-050","206","2026-04-05 14:10:00","0","2026-04-05 14:15:00"
"M-PACK-ANGIO","MO2026032200043","PROC-110","909","2026-04-03 19:24:00","1","2026-04-03 19:29:00"
"M-BAL-BASE","MO2026032200044","PROC-020","906","2026-04-06 09:26:00","0","2026-04-06 09:31:00"
"M-CATH-TUBE","MO2026032200044","PROC-040","1178","2026-04-05 07:40:00","1","2026-04-05 07:45:00"
"M-COAT-002","MO2026032200044","PROC-050","273","2026-04-05 10:43:00","0","2026-04-05 10:48:00"
"M-PACK-BAL","MO2026032200044","PROC-110","635","2026-04-06 02:32:00","0","2026-04-06 02:37:00"
"M-BAL-BASE","MO2026032200045","PROC-020","582","2026-04-06 10:45:00","0","2026-04-06 10:50:00"
"M-CATH-TUBE","MO2026032200045","PROC-040","801","2026-04-06 05:05:00","1","2026-04-06 05:10:00"
"M-COAT-002","MO2026032200045","PROC-050","191","2026-04-04 22:19:00","0","2026-04-04 22:24:00"
"M-PACK-BAL","MO2026032200045","PROC-110","378","2026-04-05 14:58:00","0","2026-04-05 15:03:00"
"M-STENT-WIRE","MO2026032200046","PROC-060","710","2026-04-06 05:09:00","0","2026-04-06 05:14:00"
"M-LASER-TUBE","MO2026032200046","PROC-030","356","2026-04-07 04:57:00","0","2026-04-07 05:02:00"
"M-DRUG-COAT","MO2026032200046","PROC-090","151","2026-04-06 17:54:00","0","2026-04-06 17:59:00"
"M-PACK-STENT","MO2026032200046","PROC-110","558","2026-04-06 22:38:00","0","2026-04-06 22:43:00"
"M-BAL-BASE","MO2026032200047","PROC-020","471","2026-04-07 09:10:00","0","2026-04-07 09:15:00"
"M-CATH-TUBE","MO2026032200047","PROC-040","618","2026-04-06 16:37:00","1","2026-04-06 16:42:00"
"M-COAT-002","MO2026032200047","PROC-050","183","2026-04-06 23:55:00","0","2026-04-07 00:00:00"
"M-PACK-BAL","MO2026032200047","PROC-110","503","2026-04-06 08:30:00","0","2026-04-06 08:35:00"
"M-STENT-WIRE","MO2026032200048","PROC-060","360","2026-04-08 22:42:00","0","2026-04-08 22:47:00"
"M-LASER-TUBE","MO2026032200048","PROC-030","352","2026-04-07 07:27:00","0","2026-04-07 07:32:00"
"M-DRUG-COAT","MO2026032200048","PROC-090","153","2026-04-07 18:03:00","0","2026-04-07 18:08:00"
"M-PACK-STENT","MO2026032200048","PROC-110","508","2026-04-08 13:33:00","0","2026-04-08 13:38:00"
"M-RESIN-001","MO2026032200049","PROC-020","897","2026-04-09 06:58:00","0","2026-04-09 07:03:00"
"M-WIRE-001","MO2026032200049","PROC-030","508","2026-04-08 18:53:00","0","2026-04-08 18:58:00"
"M-COAT-001","MO2026032200049","PROC-050","305","2026-04-09 04:59:00","0","2026-04-09 05:04:00"
"M-PACK-ANGIO","MO2026032200049","PROC-110","478","2026-04-08 12:36:00","0","2026-04-08 12:41:00"
"M-STENT-WIRE","MO2026032200050","PROC-060","353","2026-04-09 11:50:00","0","2026-04-09 11:55:00"
"M-LASER-TUBE","MO2026032200050","PROC-030","365","2026-04-09 06:21:00","0","2026-04-09 06:26:00"
"M-DRUG-COAT","MO2026032200050","PROC-090","119","2026-04-09 00:36:00","0","2026-04-09 00:41:00"
"M-PACK-STENT","MO2026032200050","PROC-110","571","2026-04-08 03:12:00","1","2026-04-08 03:17:00"
"M-RESIN-001","MO2026032200051","PROC-020","903","2026-04-09 22:39:00","0","2026-04-09 22:44:00"
"M-WIRE-001","MO2026032200051","PROC-030","278","2026-04-10 11:10:00","0","2026-04-10 11:15:00"
"M-COAT-001","MO2026032200051","PROC-050","210","2026-04-10 00:12:00","0","2026-04-10 00:17:00"
"M-PACK-ANGIO","MO2026032200051","PROC-110","424","2026-04-10 01:35:00","0","2026-04-10 01:40:00"
"M-BAL-BASE","MO2026032200052","PROC-020","1297","2026-04-11 05:27:00","1","2026-04-11 05:32:00"
"M-CATH-TUBE","MO2026032200052","PROC-040","876","2026-04-11 16:13:00","1","2026-04-11 16:18:00"
"M-COAT-002","MO2026032200052","PROC-050","186","2026-04-10 10:07:00","0","2026-04-10 10:12:00"
"M-PACK-BAL","MO2026032200052","PROC-110","571","2026-04-10 15:12:00","0","2026-04-10 15:17:00"
"M-RESIN-001","MO2026032200053","PROC-020","1344","2026-04-11 09:07:00","0","2026-04-11 09:12:00"
"M-WIRE-001","MO2026032200053","PROC-030","371","2026-04-10 01:26:00","0","2026-04-10 01:31:00"
"M-COAT-001","MO2026032200053","PROC-050","268","2026-04-11 00:27:00","0","2026-04-11 00:32:00"
"M-PACK-ANGIO","MO2026032200053","PROC-110","836","2026-04-11 13:49:00","1","2026-04-11 13:54:00"
"M-BAL-BASE","MO2026032200054","PROC-020","1103","2026-04-11 07:34:00","1","2026-04-11 07:39:00"
"M-CATH-TUBE","MO2026032200054","PROC-040","345","2026-04-12 08:12:00","0","2026-04-12 08:17:00"
"M-COAT-002","MO2026032200054","PROC-050","145","2026-04-11 18:50:00","0","2026-04-11 18:55:00"
"M-PACK-BAL","MO2026032200054","PROC-110","371","2026-04-11 15:10:00","0","2026-04-11 15:15:00"
"M-STENT-WIRE","MO2026032200055","PROC-060","801","2026-04-12 09:01:00","1","2026-04-12 09:06:00"
"M-LASER-TUBE","MO2026032200055","PROC-030","309","2026-04-13 10:57:00","0","2026-04-13 11:02:00"
"M-DRUG-COAT","MO2026032200055","PROC-090","125","2026-04-13 07:24:00","0","2026-04-13 07:29:00"
"M-PACK-STENT","MO2026032200055","PROC-110","506","2026-04-12 08:38:00","0","2026-04-12 08:43:00"
"M-STENT-WIRE","MO2026032200056","PROC-060","284","2026-04-13 01:53:00","0","2026-04-13 01:58:00"
"M-LASER-TUBE","MO2026032200056","PROC-030","336","2026-04-13 01:30:00","0","2026-04-13 01:35:00"
"M-DRUG-COAT","MO2026032200056","PROC-090","92","2026-04-12 10:13:00","0","2026-04-12 10:18:00"
"M-PACK-STENT","MO2026032200056","PROC-110","448","2026-04-12 08:02:00","1","2026-04-12 08:07:00"
