"production_order_no","source_sales_order_no","source_line_no","source_plan_order_no","product_code","plan_qty","production_status","last_update_time"
"MO2026032200023","SO20260322006","20","PO202603220017","P-BALLOON-001","583","OPEN","2026-03-18 21:15:00"
"MO2026032200024","SO20260322006","30","PO202603220018","P-STENT-001","443","OPEN","2026-03-18 22:30:00"
"MO2026032200025","SO20260322007","10","PO202603220019","P-BALLOON-001","938","OPEN","2026-03-19 23:20:00"
"MO2026032200026","SO20260322007","20","PO202603220020","P-STENT-001","749","DONE","2026-03-20 00:35:00"
"MO2026032200027","SO20260322007","30","PO202603220021","P-ANGIO-001","314","OPEN","2026-03-19 16:50:00"
"MO2026032200028","SO20260322008","10","PO202603220022","P-STENT-001","559","IN_PROGRESS","2026-03-20 17:40:00"
"MO2026032200029","SO20260322008","20","PO202603220023","P-ANGIO-001","820","OPEN","2026-03-20 18:55:00"
"MO2026032200030","SO20260322008","30","PO202603220024","P-BALLOON-001","641","OPEN","2026-03-20 20:10:00"
"MO2026032200031","SO20260322009","10","PO202603220025","P-ANGIO-001","726","OPEN","2026-03-21 21:00:00"
"MO2026032200032","SO20260322009","20","PO202603220026","P-BALLOON-001","655","OPEN","2026-03-21 22:15:00"
"MO2026032200033","SO20260322009","20","PO202603220026","P-BALLOON-001","436","OPEN","2026-03-21 23:15:00"
"MO2026032200034","SO20260322009","30","PO202603220027","P-STENT-001","534","OPEN","2026-03-22 00:30:00"
"MO2026032200035","SO20260322010","10","PO202603220028","P-BALLOON-001","832","IN_PROGRESS","2026-03-23 01:20:00"
"MO2026032200036","SO20260322010","20","PO202603220029","P-STENT-001","873","OPEN","2026-03-22 17:35:00"
"MO2026032200037","SO20260322010","30","PO202603220030","P-ANGIO-001","741","OPEN","2026-03-22 18:50:00"
"MO2026032200038","SO20260322011","10","PO202603220031","P-STENT-001","616","OPEN","2026-03-18 19:40:00"
"MO2026032200039","SO20260322011","10","PO202603220031","P-STENT-001","411","DONE","2026-03-18 20:40:00"
"MO2026032200040","SO20260322011","20","PO202603220032","P-ANGIO-001","355","OPEN","2026-03-18 21:55:00"
"MO2026032200041","SO20260322011","30","PO202603220033","P-BALLOON-001","709","OPEN","2026-03-18 23:10:00"
"MO2026032200042","SO20260322011","30","PO202603220033","P-BALLOON-001","472","IN_PROGRESS","2026-03-19 00:10:00"
"MO2026032200043","SO20260322012","10","PO202603220034","P-ANGIO-001","854","OPEN","2026-03-20 01:00:00"
"MO2026032200044","SO20260322012","20","PO202603220035","P-BALLOON-001","1118","OPEN","2026-03-20 02:15:00"
"MO2026032200045","SO20260322012","20","PO202603220035","P-BALLOON-001","746","OPEN","2026-03-19 18:15:00"
"MO2026032200046","SO20260322012","30","PO202603220036","P-STENT-001","736","OPEN","2026-03-19 19:30:00"
"MO2026032200047","SO20260322013","10","PO202603220037","P-BALLOON-001","608","OPEN","2026-03-20 20:20:00"
"MO2026032200048","SO20260322013","20","PO202603220038","P-STENT-001","638","OPEN","2026-03-20 21:35:00"
"MO2026032200049","SO20260322013","30","PO202603220039","P-ANGIO-001","745","IN_PROGRESS","2026-03-20 22:50:00"
"MO2026032200050","SO20260322014","10","PO202603220040","P-STENT-001","549","OPEN","2026-03-21 23:40:00"
"MO2026032200051","SO20260322014","20","PO202603220041","P-ANGIO-001","535","OPEN","2026-03-22 00:55:00"
"MO2026032200052","SO20260322014","30","PO202603220042","P-BALLOON-001","814","DONE","2026-03-22 02:10:00"
"MO2026032200053","SO20260322015","10","PO202603220043","P-ANGIO-001","795","OPEN","2026-03-23 03:00:00"
"MO2026032200054","SO20260322015","20","PO202603220044","P-BALLOON-001","704","OPEN","2026-03-22 19:15:00"
"MO2026032200055","SO20260322015","30","PO202603220045","P-STENT-001","646","OPEN","2026-03-22 20:30:00"
"MO2026032200056","SO20260322015","30","PO202603220045","P-STENT-001","431","IN_PROGRESS","2026-03-22 21:30:00"
