"material_list_no","production_order_no","material_code","required_qty","issued_qty","ready_flag","last_update_time"
"ML2026032200046","MO2026032200046","M-LASER-TUBE","736","594","0","2026-04-05 15:57:00"
"ML2026032200046","MO2026032200046","M-DRUG-COAT","221","162","0","2026-04-05 18:54:00"
"ML2026032200046","MO2026032200046","M-PACK-STENT","736","735","0","2026-04-05 15:38:00"
"ML2026032200047","MO2026032200047","M-BAL-BASE","912","877","0","2026-04-05 20:10:00"
"ML2026032200047","MO2026032200047","M-CATH-TUBE","608","608","1","2026-04-05 22:37:00"
"ML2026032200047","MO2026032200047","M-COAT-002","243","201","0","2026-04-05 19:55:00"
"ML2026032200047","MO2026032200047","M-PACK-BAL","608","500","0","2026-04-05 21:30:00"
"ML2026032200048","MO2026032200048","M-STENT-WIRE","766","622","0","2026-04-07 00:42:00"
"ML2026032200048","MO2026032200048","M-LASER-TUBE","638","484","0","2026-04-06 13:27:00"
"ML2026032200048","MO2026032200048","M-DRUG-COAT","191","144","0","2026-04-06 18:03:00"
"ML2026032200048","MO2026032200048","M-PACK-STENT","638","476","0","2026-04-06 15:33:00"
"ML2026032200049","MO2026032200049","M-RESIN-001","1490","1386","0","2026-04-07 23:58:00"
"ML2026032200049","MO2026032200049","M-WIRE-001","745","544","0","2026-04-07 17:53:00"
"ML2026032200049","MO2026032200049","M-COAT-001","372","286","0","2026-04-07 19:59:00"
"ML2026032200049","MO2026032200049","M-PACK-ANGIO","745","664","0","2026-04-07 19:36:00"
"ML2026032200050","MO2026032200050","M-STENT-WIRE","659","597","0","2026-04-07 17:50:00"
"ML2026032200050","MO2026032200050","M-LASER-TUBE","549","429","0","2026-04-07 23:21:00"
"ML2026032200050","MO2026032200050","M-DRUG-COAT","165","138","0","2026-04-07 23:36:00"
"ML2026032200050","MO2026032200050","M-PACK-STENT","549","549","1","2026-04-07 21:12:00"
"ML2026032200051","MO2026032200051","M-RESIN-001","1070","1031","0","2026-04-08 23:39:00"
"ML2026032200051","MO2026032200051","M-WIRE-001","535","442","0","2026-04-08 17:10:00"
"ML2026032200051","MO2026032200051","M-COAT-001","268","224","0","2026-04-08 20:12:00"
"ML2026032200051","MO2026032200051","M-PACK-ANGIO","535","408","0","2026-04-08 20:35:00"
"ML2026032200052","MO2026032200052","M-BAL-BASE","1221","1221","1","2026-04-09 20:27:00"
"ML2026032200052","MO2026032200052","M-CATH-TUBE","814","814","1","2026-04-10 02:13:00"
"ML2026032200052","MO2026032200052","M-COAT-002","326","268","0","2026-04-09 23:07:00"
"ML2026032200052","MO2026032200052","M-PACK-BAL","814","784","0","2026-04-09 14:12:00"
"ML2026032200053","MO2026032200053","M-RESIN-001","1590","1282","0","2026-04-10 00:07:00"
"ML2026032200053","MO2026032200053","M-WIRE-001","795","716","0","2026-04-09 13:26:00"
"ML2026032200053","MO2026032200053","M-COAT-001","398","315","0","2026-04-09 17:27:00"
"ML2026032200053","MO2026032200053","M-PACK-ANGIO","795","795","1","2026-04-10 01:49:00"
"ML2026032200054","MO2026032200054","M-BAL-BASE","1056","1056","1","2026-04-10 14:34:00"
"ML2026032200054","MO2026032200054","M-CATH-TUBE","704","674","0","2026-04-10 21:12:00"
"ML2026032200054","MO2026032200054","M-COAT-002","282","205","0","2026-04-10 15:50:00"
"ML2026032200054","MO2026032200054","M-PACK-BAL","704","508","0","2026-04-11 02:10:00"
"ML2026032200055","MO2026032200055","M-STENT-WIRE","775","775","1","2026-04-11 18:01:00"
"ML2026032200055","MO2026032200055","M-LASER-TUBE","646","597","0","2026-04-11 15:57:00"
"ML2026032200055","MO2026032200055","M-DRUG-COAT","194","173","0","2026-04-11 23:24:00"
"ML2026032200055","MO2026032200055","M-PACK-STENT","646","559","0","2026-04-11 15:38:00"
"ML2026032200056","MO2026032200056","M-STENT-WIRE","517","414","0","2026-04-11 20:53:00"
"ML2026032200056","MO2026032200056","M-LASER-TUBE","431","382","0","2026-04-11 17:30:00"
"ML2026032200056","MO2026032200056","M-DRUG-COAT","129","126","0","2026-04-11 17:13:00"
"ML2026032200056","MO2026032200056","M-PACK-STENT","431","431","1","2026-04-11 20:02:00"
