"order_no","order_type","mrp_run_id","run_time","last_update_time"
"MO2026032200048","production","MRP20260323A","2026-03-22 23:06:00","2026-03-22 23:11:00"
"MO2026032200049","production","MRP20260322A","2026-03-22 23:24:00","2026-03-22 23:29:00"
"MO2026032200050","production","MRP20260322B","2026-03-22 23:42:00","2026-03-22 23:47:00"
"MO2026032200051","production","MRP20260322C","2026-03-23 00:00:00","2026-03-23 00:05:00"
"MO2026032200052","production","MRP20260323A","2026-03-23 00:18:00","2026-03-23 00:23:00"
"MO2026032200053","production","MRP20260322A","2026-03-23 00:36:00","2026-03-23 00:41:00"
"MO2026032200054","production","MRP20260322B","2026-03-23 00:54:00","2026-03-23 00:59:00"
"MO2026032200055","production","MRP20260322C","2026-03-23 01:12:00","2026-03-23 01:17:00"
"MO2026032200056","production","MRP20260323A","2026-03-23 01:30:00","2026-03-23 01:35:00"
"MO2026032200056","production","MRP20260324R","2026-03-25 01:30:00","2026-03-25 01:38:00"
